resistance,width1,length1,width2,length2,gate_voltage,drain_voltage,source_voltage,current_source_voltage,power,speed,gain,topology,gate_voltage_num,source_voltage_num
500,2u,90n,,,400m,,200m,,1.02e-06,7021000000.0,0.04355,CD_resistive_bias,0.4,0.2
500,3.168u,90n,,,400m,,200m,,1.531e-06,6711000000.0,0.06425,CD_resistive_bias,0.4,0.2
500,5.017u,90n,,,400m,,200m,,2.332e-06,6488000000.0,0.0949,CD_resistive_bias,0.4,0.2
500,7.946u,90n,,,400m,,200m,,3.585e-06,6322000000.0,0.1391,CD_resistive_bias,0.4,0.2
500,12.58u,90n,,,400m,,200m,,7.129e-06,7698000000.0,0.2401,CD_resistive_bias,0.4,0.2
500,19.93u,90n,,,400m,,200m,,1.093e-05,7485000000.0,0.327,CD_resistive_bias,0.4,0.2
500,31.57u,90n,,,400m,,200m,,2.033e-05,8568000000.0,0.4714,CD_resistive_bias,0.4,0.2
500,50u,90n,,,400m,,200m,,3.181e-05,8414000000.0,0.582,CD_resistive_bias,0.4,0.2
500,2u,90n,,,400m,,300m,,1.759e-06,7949000000.0,0.04922,CD_resistive_bias,0.4,0.3
500,3.168u,90n,,,400m,,300m,,2.647e-06,7608000000.0,0.07251,CD_resistive_bias,0.4,0.3
500,5.017u,90n,,,400m,,300m,,4.036e-06,7362000000.0,0.1068,CD_resistive_bias,0.4,0.3
500,7.946u,90n,,,400m,,300m,,6.211e-06,7180000000.0,0.1556,CD_resistive_bias,0.4,0.3
500,12.58u,90n,,,400m,,300m,,1.238e-05,8771000000.0,0.2655,CD_resistive_bias,0.4,0.3
500,19.93u,90n,,,400m,,300m,,1.903e-05,8546000000.0,0.3577,CD_resistive_bias,0.4,0.3
500,31.57u,90n,,,400m,,300m,,3.555e-05,9851000000.0,0.5068,CD_resistive_bias,0.4,0.3
500,50u,90n,,,400m,,300m,,5.601e-05,9794000000.0,0.6184,CD_resistive_bias,0.4,0.3
500,2u,90n,,,400m,,400m,,2.621e-06,8773000000.0,0.0542,CD_resistive_bias,0.4,0.4
500,3.168u,90n,,,400m,,400m,,3.953e-06,8410000000.0,0.07977,CD_resistive_bias,0.4,0.4
500,5.017u,90n,,,400m,,400m,,6.036e-06,8146000000.0,0.1171,CD_resistive_bias,0.4,0.4
500,7.946u,90n,,,400m,,400m,,9.3e-06,7951000000.0,0.1699,CD_resistive_bias,0.4,0.4
500,12.58u,90n,,,400m,,400m,,1.858e-05,9730000000.0,0.2868,CD_resistive_bias,0.4,0.4
500,19.93u,90n,,,400m,,400m,,2.86e-05,9495000000.0,0.383,CD_resistive_bias,0.4,0.4
500,31.57u,90n,,,400m,,400m,,5.362e-05,10980000000.0,0.5347,CD_resistive_bias,0.4,0.4
500,50u,90n,,,400m,,400m,,8.484e-05,10970000000.0,0.6454,CD_resistive_bias,0.4,0.4
500,2u,90n,,,500m,,200m,,4.885e-06,22260000000.0,0.1423,CD_resistive_bias,0.5,0.2
500,3.168u,90n,,,500m,,200m,,7.339e-06,21290000000.0,0.2006,CD_resistive_bias,0.5,0.2
500,5.017u,90n,,,500m,,200m,,1.111e-05,20450000000.0,0.2762,CD_resistive_bias,0.5,0.2
500,7.946u,90n,,,500m,,200m,,1.682e-05,19590000000.0,0.3669,CD_resistive_bias,0.5,0.2
500,12.58u,90n,,,500m,,200m,,3.052e-05,21140000000.0,0.5014,CD_resistive_bias,0.5,0.2
500,19.93u,90n,,,500m,,200m,,4.286e-05,17630000000.0,0.5742,CD_resistive_bias,0.5,0.2
500,31.57u,90n,,,500m,,200m,,5.825e-05,12600000000.0,0.6148,CD_resistive_bias,0.5,0.2
500,50u,90n,,,500m,,200m,,6.64e-05,8317000000.0,0.6305,CD_resistive_bias,0.5,0.2
500,2u,90n,,,500m,,300m,,8.283e-06,24920000000.0,0.1563,CD_resistive_bias,0.5,0.3
500,3.168u,90n,,,500m,,300m,,1.247e-05,23900000000.0,0.2193,CD_resistive_bias,0.5,0.3
500,5.017u,90n,,,500m,,300m,,1.892e-05,23040000000.0,0.3,CD_resistive_bias,0.5,0.3
500,7.946u,90n,,,500m,,300m,,2.878e-05,22250000000.0,0.3958,CD_resistive_bias,0.5,0.3
500,12.58u,90n,,,500m,,300m,,5.33e-05,25230000000.0,0.5423,CD_resistive_bias,0.5,0.3
500,19.93u,90n,,,500m,,300m,,7.832e-05,23480000000.0,0.6364,CD_resistive_bias,0.5,0.3
