resistance,width1,length1,width2,length2,gate_voltage,drain_voltage,source_voltage,current_source_voltage,power,speed,gain,topology,gate_voltage_num,drain_voltage_num
,2u,90n,2u,90n,400m,400m,,400m,6.219e-10,1680000.0,0.0002378,CS_Current_source_load,0.4,0.4
,2u,90n,10u,90n,400m,400m,,400m,3.224e-09,8695000.0,0.001232,CS_Current_source_load,0.4,0.4
,2u,90n,50u,90n,400m,400m,,400m,1.358e-08,36660000.0,0.005213,CS_Current_source_load,0.4,0.4
,3.42u,90n,2u,90n,400m,400m,,400m,6.22e-10,997200.0,0.0001484,CS_Current_source_load,0.4,0.4
,3.42u,90n,10u,90n,400m,400m,,400m,3.224e-09,5158000.0,0.0007682,CS_Current_source_load,0.4,0.4
,3.42u,90n,50u,90n,400m,400m,,400m,1.358e-08,21740000.0,0.003245,CS_Current_source_load,0.4,0.4
,5.848u,90n,2u,90n,400m,400m,,400m,6.22e-10,588600.0,9.058e-05,CS_Current_source_load,0.4,0.4
,5.848u,90n,10u,90n,400m,400m,,400m,3.224e-09,3044000.0,0.0004686,CS_Current_source_load,0.4,0.4
,5.848u,90n,50u,90n,400m,400m,,400m,1.358e-08,12820000.0,0.001977,CS_Current_source_load,0.4,0.4
,10u,90n,2u,90n,400m,400m,,400m,6.22e-10,347400.0,5.461e-05,CS_Current_source_load,0.4,0.4
,10u,90n,10u,90n,400m,400m,,400m,3.224e-09,1790000.0,0.0002815,CS_Current_source_load,0.4,0.4
,10u,90n,50u,90n,400m,400m,,400m,1.358e-08,7539000.0,0.001187,CS_Current_source_load,0.4,0.4
,17.1u,90n,2u,90n,400m,400m,,400m,6.22e-10,195200.0,2.504e-05,CS_Current_source_load,0.4,0.4
,17.1u,90n,10u,90n,400m,400m,,400m,3.224e-09,1002000.0,0.0001286,CS_Current_source_load,0.4,0.4
,17.1u,90n,50u,90n,400m,400m,,400m,1.358e-08,4216000.0,0.0005412,CS_Current_source_load,0.4,0.4
,29.24u,90n,2u,90n,400m,400m,,400m,6.22e-10,112500.0,1.308e-05,CS_Current_source_load,0.4,0.4
,29.24u,90n,10u,90n,400m,400m,,400m,3.224e-09,573800.0,6.668e-05,CS_Current_source_load,0.4,0.4
,29.24u,90n,50u,90n,400m,400m,,400m,1.358e-08,2411000.0,0.0002803,CS_Current_source_load,0.4,0.4
,50u,90n,2u,90n,400m,400m,,400m,6.22e-10,65090.0,6.793e-06,CS_Current_source_load,0.4,0.4
,50u,90n,10u,90n,400m,400m,,400m,3.224e-09,328100.0,3.424e-05,CS_Current_source_load,0.4,0.4
,50u,90n,50u,90n,400m,400m,,400m,1.358e-08,1376000.0,0.0001436,CS_Current_source_load,0.4,0.4
,2u,90n,2u,90n,500m,400m,,400m,6.22e-10,935500.0,4.465e-05,CS_Current_source_load,0.5,0.4
,2u,90n,10u,90n,500m,400m,,400m,3.224e-09,4838000.0,0.0002309,CS_Current_source_load,0.5,0.4
,2u,90n,50u,90n,500m,400m,,400m,1.358e-08,20390000.0,0.0009739,CS_Current_source_load,0.5,0.4
,3.42u,90n,2u,90n,500m,400m,,400m,6.22e-10,554400.0,2.757e-05,CS_Current_source_load,0.5,0.4
,3.42u,90n,10u,90n,500m,400m,,400m,3.224e-09,2865000.0,0.0001425,CS_Current_source_load,0.5,0.4
,3.42u,90n,50u,90n,500m,400m,,400m,1.358e-08,12070000.0,0.0006006,CS_Current_source_load,0.5,0.4
,5.848u,90n,2u,90n,500m,400m,,400m,6.22e-10,327900.0,1.677e-05,CS_Current_source_load,0.5,0.4
,5.848u,90n,10u,90n,500m,400m,,400m,3.224e-09,1689000.0,8.639e-05,CS_Current_source_load,0.5,0.4
,5.848u,90n,50u,90n,500m,400m,,400m,1.358e-08,7114000.0,0.0003639,CS_Current_source_load,0.5,0.4
,10u,90n,2u,90n,500m,400m,,400m,6.22e-10,193600.0,1.008e-05,CS_Current_source_load,0.5,0.4
,10u,90n,10u,90n,500m,400m,,400m,3.224e-09,993300.0,5.172e-05,CS_Current_source_load,0.5,0.4
,10u,90n,50u,90n,500m,400m,,400m,1.358e-08,4180000.0,0.0002177,CS_Current_source_load,0.5,0.4
,17.1u,90n,2u,90n,500m,400m,,400m,6.22e-10,109700.0,4.798e-06,CS_Current_source_load,0.5,0.4
,17.1u,90n,10u,90n,500m,400m,,400m,3.224e-09,558100.0,2.44e-05,CS_Current_source_load,0.5,0.4
,17.1u,90n,50u,90n,500m,400m,,400m,1.358e-08,2349000.0,0.0001027,CS_Current_source_load,0.5,0.4
,29.24u,90n,2u,90n,500m,400m,,400m,6.22e-10,63840.0,2.564e-06,CS_Current_source_load,0.5,0.4
,29.24u,90n,10u,90n,500m,400m,,400m,3.224e-09,321200.0,1.29e-05,CS_Current_source_load,0.5,0.4
,29.24u,90n,50u,90n,500m,400m,,400m,1.358e-08,1347000.0,5.409e-05,CS_Current_source_load,0.5,0.4
,50u,90n,2u,90n,500m,400m,,400m,6.22e-10,37420.0,1.372e-06,CS_Current_source_load,0.5,0.4
