resistance,width1,length1,width2,length2,gate_voltage,drain_voltage,source_voltage,current_source_voltage,power,speed,gain,topology,gate_voltage_num,drain_voltage_num
,2u,90n,2u,90n,400m,200m,,,9.716e-09,52270000.0,0.5243,CS_diode_load,0.4,0.2
,2u,90n,10u,90n,400m,200m,,,3.888e-08,210000000.0,0.5211,CS_diode_load,0.4,0.2
,2u,90n,50u,90n,400m,200m,,,2.465e-07,1381000000.0,0.5333,CS_diode_load,0.4,0.2
,10u,90n,2u,90n,400m,200m,,,9.849e-09,10890000.0,0.5339,CS_diode_load,0.4,0.2
,10u,90n,10u,90n,400m,200m,,,4.106e-08,45430000.0,0.5304,CS_diode_load,0.4,0.2
,10u,90n,50u,90n,400m,200m,,,3.482e-07,389100000.0,0.5417,CS_diode_load,0.4,0.2
,50u,90n,2u,90n,400m,200m,,,9.896e-09,1993000.0,0.5036,CS_diode_load,0.4,0.2
,50u,90n,10u,90n,400m,200m,,,4.168e-08,8396000.0,0.4999,CS_diode_load,0.4,0.2
,50u,90n,50u,90n,400m,200m,,,3.94e-07,79480000.0,0.5112,CS_diode_load,0.4,0.2
,2u,90n,2u,90n,500m,200m,,,9.834e-09,29410000.0,0.3417,CS_diode_load,0.5,0.2
,2u,90n,10u,90n,500m,200m,,,4.088e-08,122400000.0,0.3397,CS_diode_load,0.5,0.2
,2u,90n,50u,90n,500m,200m,,,3.371e-07,1021000000.0,0.348,CS_diode_load,0.5,0.2
,10u,90n,2u,90n,500m,200m,,,9.883e-09,6054000.0,0.3488,CS_diode_load,0.5,0.2
,10u,90n,10u,90n,500m,200m,,,4.153e-08,25450000.0,0.3462,CS_diode_load,0.5,0.2
,10u,90n,50u,90n,500m,200m,,,3.85e-07,236600000.0,0.3545,CS_diode_load,0.5,0.2
,50u,90n,2u,90n,500m,200m,,,9.903e-09,1115000.0,0.3255,CS_diode_load,0.5,0.2
,50u,90n,10u,90n,500m,200m,,,4.175e-08,4701000.0,0.3231,CS_diode_load,0.5,0.2
,50u,90n,50u,90n,500m,200m,,,3.995e-07,45010000.0,0.3304,CS_diode_load,0.5,0.2
,2u,90n,2u,90n,600m,200m,,,9.869e-09,16930000.0,0.2095,CS_diode_load,0.6,0.2
,2u,90n,10u,90n,600m,200m,,,4.134e-08,70960000.0,0.208,CS_diode_load,0.6,0.2
,2u,90n,50u,90n,600m,200m,,,3.687e-07,635700000.0,0.2127,CS_diode_load,0.6,0.2
,10u,90n,2u,90n,600m,200m,,,9.892e-09,3473000.0,0.214,CS_diode_load,0.6,0.2
,10u,90n,10u,90n,600m,200m,,,4.167e-08,14630000.0,0.2125,CS_diode_load,0.6,0.2
,10u,90n,50u,90n,600m,200m,,,3.941e-07,138500000.0,0.2174,CS_diode_load,0.6,0.2
,50u,90n,2u,90n,600m,200m,,,9.924e-09,641900.0,0.1989,CS_diode_load,0.6,0.2
,50u,90n,10u,90n,600m,200m,,,4.178e-08,2702000.0,0.197,CS_diode_load,0.6,0.2
,50u,90n,50u,90n,600m,200m,,,4.009e-07,25930000.0,0.2015,CS_diode_load,0.6,0.2
,2u,90n,2u,90n,700m,200m,,,9.878e-09,10300000.0,0.1309,CS_diode_load,0.7000000000000001,0.2
,2u,90n,10u,90n,700m,200m,,,4.151e-08,43270000.0,0.13,CS_diode_load,0.7000000000000001,0.2
,2u,90n,50u,90n,700m,200m,,,3.806e-07,397700000.0,0.1329,CS_diode_load,0.7000000000000001,0.2
,10u,90n,2u,90n,700m,200m,,,9.898e-09,2104000.0,0.1334,CS_diode_load,0.7000000000000001,0.2
,10u,90n,10u,90n,700m,200m,,,4.171e-08,8869000.0,0.1325,CS_diode_load,0.7000000000000001,0.2
,10u,90n,50u,90n,700m,200m,,,3.97e-07,84460000.0,0.1354,CS_diode_load,0.7000000000000001,0.2
,50u,90n,2u,90n,700m,200m,,,9.941e-09,392700.0,0.1248,CS_diode_load,0.7000000000000001,0.2
,50u,90n,10u,90n,700m,200m,,,4.18e-08,1651000.0,0.1235,CS_diode_load,0.7000000000000001,0.2
,50u,90n,50u,90n,700m,200m,,,4.013e-07,15850000.0,0.1262,CS_diode_load,0.7000000000000001,0.2
,2u,90n,2u,90n,800m,200m,,,9.883e-09,6751000.0,0.0869,CS_diode_load,0.8,0.2
,2u,90n,10u,90n,800m,200m,,,4.157e-08,28400000.0,0.0863,CS_diode_load,0.8,0.2
,2u,90n,50u,90n,800m,200m,,,3.86e-07,264100000.0,0.08822,CS_diode_load,0.8,0.2
,10u,90n,2u,90n,800m,200m,,,9.905e-09,1375000.0,0.08839,CS_diode_load,0.8,0.2
,10u,90n,10u,90n,800m,200m,,,4.173e-08,5795000.0,0.0877,CS_diode_load,0.8,0.2
,10u,90n,50u,90n,800m,200m,,,3.985e-07,55350000.0,0.08968,CS_diode_load,0.8,0.2
,50u,90n,2u,90n,800m,200m,,,9.975e-09,259300.0,0.08341,CS_diode_load,0.8,0.2
,50u,90n,10u,90n,800m,200m,,,4.184e-08,1087000.0,0.08232,CS_diode_load,0.8,0.2
,50u,90n,50u,90n,800m,200m,,,4.015e-07,10440000.0,0.08407,CS_diode_load,0.8,0.2
,2u,90n,2u,90n,900m,200m,,,9.887e-09,4676000.0,0.0606,CS_diode_load,0.9,0.2
,2u,90n,10u,90n,900m,200m,,,4.16e-08,19680000.0,0.06016,CS_diode_load,0.9,0.2
,2u,90n,50u,90n,900m,200m,,,3.889e-07,184200000.0,0.06152,CS_diode_load,0.9,0.2
,10u,90n,2u,90n,900m,200m,,,9.914e-09,950600.0,0.06153,CS_diode_load,0.9,0.2
,10u,90n,10u,90n,900m,200m,,,4.175e-08,4004000.0,0.061,CS_diode_load,0.9,0.2
,10u,90n,50u,90n,900m,200m,,,3.991e-07,38280000.0,0.06237,CS_diode_load,0.9,0.2
,50u,90n,2u,90n,900m,200m,,,1.002e-08,180500.0,0.05846,CS_diode_load,0.9,0.2
,50u,90n,10u,90n,900m,200m,,,4.18e-08,753200.0,0.05739,CS_diode_load,0.9,0.2
,50u,90n,50u,90n,900m,200m,,,4.017e-07,7238000.0,0.05867,CS_diode_load,0.9,0.2
,2u,90n,2u,90n,400m,300m,,,1.974e-07,721500000.0,0.663,CS_diode_load,0.4,0.3
,2u,90n,10u,90n,400m,300m,,,5.527e-07,2126000000.0,0.6426,CS_diode_load,0.4,0.3
,2u,90n,50u,90n,400m,300m,,,1.135e-06,5072000000.0,0.6401,CS_diode_load,0.4,0.3
,10u,90n,2u,90n,400m,300m,,,2.286e-07,169200000.0,0.6802,CS_diode_load,0.4,0.3
,10u,90n,10u,90n,400m,300m,,,8.624e-07,647800000.0,0.6667,CS_diode_load,0.4,0.3
,10u,90n,50u,90n,400m,300m,,,3.459e-06,2863000000.0,0.6717,CS_diode_load,0.4,0.3
,50u,90n,2u,90n,400m,300m,,,2.385e-07,32050000.0,0.6428,CS_diode_load,0.4,0.3
,50u,90n,10u,90n,400m,300m,,,1.018e-06,137100000.0,0.6341,CS_diode_load,0.4,0.3
,50u,90n,50u,90n,400m,300m,,,7.501e-06,1030000000.0,0.6557,CS_diode_load,0.4,0.3
